	数据	实验机器	完成状态	recall@5	recall@10	recall@20	mrr@5	mrr@10	mrr@20	ndcg@5	ndcg@10	ndcg@20	hit@5	hit@10	hit@20	precision@5	precision@10	precision@20	Recall_new@5	Recall_new@10	Recall_new@20	Recall_few@5	Recall_few@10	Recall_few@20	Recall_frequent@5	Recall_frequent@10	Recall_frequent@20	NDCG_new@5	NDCG_new@10	NDCG_new@20	NDCG_few@5	NDCG_few@10	NDCG_few@20	NDCG_frequent@5	NDCG_frequent@10	NDCG_frequent@20	MRR_new@5	MRR_new@10	MRR_new@20	MRR_few@5	MRR_few@10	MRR_few@20	MRR_frequent@5	MRR_frequent@10	MRR_frequent@20	Hit_new@5	Hit_new@10	Hit_new@20	Hit_few@5	Hit_few@10	Hit_few@20	Hit_frequent@5	Hit_frequent@10	Hit_frequent@20	Coverage_new@5	Coverage_few@5	Coverage_frequent@5	Coverage_new@10	Coverage_few@10	Coverage_frequent@10	Coverage_new@20	Coverage_few@20	Coverage_frequent@20	recall@5	recall@10	recall@20	mrr@5	mrr@10	mrr@20	ndcg@5	ndcg@10	ndcg@20	hit@5	hit@10	hit@20	precision@5	precision@10	precision@20	Recall_new@5	Recall_new@10	Recall_new@20	Recall_few@5	Recall_few@10	Recall_few@20	Recall_frequent@5	Recall_frequent@10	Recall_frequent@20	NDCG_new@5	NDCG_new@10	NDCG_new@20	NDCG_few@5	NDCG_few@10	NDCG_few@20	NDCG_frequent@5	NDCG_frequent@10	NDCG_frequent@20	MRR_new@5	MRR_new@10	MRR_new@20	MRR_few@5	MRR_few@10	MRR_few@20	MRR_frequent@5	MRR_frequent@10	MRR_frequent@20	Hit_new@5	Hit_new@10	Hit_new@20	Hit_few@5	Hit_few@10	Hit_few@20	Hit_frequent@5	Hit_frequent@10	Hit_frequent@20	Coverage_new@5	Coverage_few@5	Coverage_frequent@5	Coverage_new@10	Coverage_few@10	Coverage_frequent@10	Coverage_new@20	Coverage_few@20	Coverage_frequent@20	
																																																																																																																												
# 复跑 standard 实验																																																																																																																												
GPU_ID=0 nohup bash two_phase_run_multiview_v2_toys_stratified_7b.sh > mv_toys_7b_standard.log 2>&1 &			done	0.0522	0.0673	0.0836	0.0349	0.0369	0.0381	0.0392	0.0441	0.0482	0.0522	0.0673	0.0836	0.0104	0.0067	0.0042	0.0171	0.0199	0.0243	0.0393	0.0515	0.0631	0.0934	0.1207	0.1504	0.0127	0.0136	0.0147	0.0301	0.0341	0.037	0.0699	0.0787	0.0862	0.0112	0.0116	0.0119	0.0271	0.0287	0.0295	0.0621	0.0657	0.0678	0.0171	0.0199	0.0243	0.0393	0.0515	0.0631	0.0934	0.1207	0.1504	0.2327	0.1921	0.5752	0.2206	0.194	0.5854	0.2127	0.1976	0.5897																																																													
GPU_ID=0 nohup bash two_phase_run_tfidf_toys_stratified.sh > tfidf_toys_standard.log 2>&1 & 			done	0.0536	0.0678	0.0839	0.0364	0.0383	0.0394	0.0407	0.0453	0.0493	0.0536	0.0678	0.0839	0.0107	0.0068	0.0042	0.0172	0.0196	0.0231	0.0396	0.0503	0.062	0.0963	0.1226	0.1522	0.0132	0.014	0.0149	0.0309	0.0343	0.0373	0.0726	0.0811	0.0886	0.0119	0.0123	0.0125	0.028	0.0294	0.0302	0.0648	0.0683	0.0703	0.0172	0.0196	0.0231	0.0396	0.0503	0.062	0.0963	0.1226	0.1522	0.2362	0.1817	0.5821	0.2155	0.1835	0.601	0.2008	0.1844	0.6148																																																													
GPU_ID=0 nohup bash two_phase_run_tfidf_llm_toys_stratified.sh > tfidf_llm_toys_standard.log 2>&1 &			done	0.0538	0.0685	0.0853	0.0358	0.0378	0.0389	0.0403	0.045	0.0493	0.0538	0.0685	0.0853	0.0108	0.0069	0.0043	0.0172	0.0202	0.0241	0.0395	0.0499	0.0629	0.0967	0.1242	0.1546	0.0127	0.0137	0.0146	0.0302	0.0336	0.0369	0.0722	0.0811	0.0887	0.0112	0.0116	0.0118	0.0272	0.0286	0.0295	0.0641	0.0677	0.0698	0.0172	0.0202	0.0241	0.0395	0.0499	0.0629	0.0967	0.1242	0.1546	0.2185	0.1803	0.6011	0.2054	0.1806	0.614	0.1961	0.1829	0.621																																																													
GPU_ID=1 nohup bash two_phase_run_multiview_v2_stratified.sh > mv_beauty_7b_standard.log 2>&1 &			done	0.0459	0.0609	0.0782	0.0305	0.0325	0.0337	0.0343	0.0392	0.0435	0.0459	0.0609	0.0782	0.0092	0.0061	0.0039	0.0162	0.0184	0.0212	0.0297	0.038	0.0467	0.0784	0.1056	0.1374	0.0118	0.0125	0.0132	0.0232	0.0258	0.028	0.0583	0.0671	0.0751	0.0103	0.0106	0.0108	0.021	0.0221	0.0227	0.0517	0.0553	0.0575	0.0162	0.0184	0.0212	0.0297	0.038	0.0467	0.0784	0.1056	0.1374	0.1649	0.1501	0.6849	0.1474	0.1504	0.7022	0.1324	0.1536	0.714																																																													
GPU_ID=2 nohup bash two_phase_run_tfidf_stratified.sh > tfidf_beauty_standard.log 2>&1 &			done	0.0451	0.0585	0.0746	0.0305	0.0323	0.0334	0.0341	0.0384	0.0425	0.0451	0.0585	0.0746	0.009	0.0058	0.0037	0.0146	0.0165	0.0184	0.0273	0.0338	0.0408	0.0784	0.1031	0.1335	0.0114	0.012	0.0125	0.0217	0.0238	0.0256	0.0587	0.0666	0.0743	0.0103	0.0106	0.0107	0.0198	0.0207	0.0212	0.0522	0.0554	0.0575	0.0146	0.0165	0.0184	0.0273	0.0338	0.0408	0.0784	0.1031	0.1335	0.1453	0.1323	0.7223	0.1229	0.131	0.7461	0.1055	0.1332	0.7613																																																													
GPU_ID=3 nohup bash two_phase_run_tfidf_llm_stratified.sh > tfidf_llm_beauty_standard.log 2>&1 &			done	0.0454	0.06	0.0772	0.0302	0.0322	0.0334	0.034	0.0387	0.043	0.0454	0.06	0.0772	0.0091	0.006	0.0039	0.0141	0.0173	0.0196	0.027	0.034	0.0428	0.0793	0.1059	0.1376	0.0106	0.0116	0.0122	0.0212	0.0235	0.0257	0.0589	0.0675	0.0754	0.0094	0.0098	0.01	0.0193	0.0202	0.0209	0.0522	0.0557	0.0579	0.0141	0.0173	0.0196	0.027	0.034	0.0428	0.0793	0.1059	0.1376	0.1139	0.1233	0.7628	0.0961	0.1225	0.7814	0.0827	0.1234	0.7939																																																													
																																																																																																																												
ablation																																																																																																																											
multi-view + 7b	beauty		done	0.0455	0.0605	0.0784	0.0294	0.0314	0.0326	0.0334	0.0382	0.0427	0.0455	0.0605	0.0784	0.0091	0.006	0.0039	0.0176	0.0209	0.024	0.0299	0.0385	0.048	0.077	0.1037	0.1364	0.0123	0.0133	0.0141	0.0228	0.0256	0.028	0.0563	0.0649	0.0732	0.0105	0.0109	0.0111	0.0205	0.0216	0.0223	0.0495	0.053	0.0553	0.0176	0.0209	0.024	0.0299	0.0385	0.048	0.077	0.1037	0.1364	0.189	0.147	0.664	0.1711	0.1447	0.6841	0.1515	0.1443	0.7042																																																												
multi-view + 7b + nosenet 	beauty		done	0.0456	0.0611	0.0794	0.029	0.0311	0.0324	0.0331	0.0382	0.0428	0.0456	0.0611	0.0794	0.0091	0.0061	0.004	0.0176	0.0216	0.0254	0.03	0.0393	0.0494	0.0771	0.1046	0.1374	0.0124	0.0137	0.0146	0.0227	0.0257	0.0282	0.0558	0.0647	0.0729	0.0107	0.0112	0.0115	0.0203	0.0215	0.0222	0.0488	0.0524	0.0547	0.0176	0.0216	0.0254	0.03	0.0393	0.0494	0.0771	0.1046	0.1374	0.2	0.1548	0.6452	0.1825	0.1542	0.6632	0.1631	0.1545	0.6823	0.22%	0.99%	1.28%	-1.36%	-0.96%	-0.61%	-0.90%	0.00%	0.23%	0.22%	0.99%	1.28%	0.00%	1.67%	2.56%	0.00%	3.35%	5.83%	0.33%	2.08%	2.92%	0.13%	0.87%	0.73%	0.81%	3.01%	3.55%	-0.44%	0.39%	0.71%	-0.89%	-0.31%	-0.41%	1.90%	2.75%	3.60%	-0.98%	-0.46%	-0.45%	-1.41%	-1.13%	-1.08%	0.00%	3.35%	5.83%	0.33%	2.08%	2.92%	0.13%	0.87%	0.73%	5.82%	5.31%	-2.83%	6.66%	6.57%	-3.06%	7.66%	7.07%	-3.11%
multi-view + 7b + nocross	beauty		done	0.0471	0.0656	0.0863	0.025	0.0274	0.0288	0.0305	0.0364	0.0416	0.0471	0.0656	0.0863	0.0094	0.0066	0.0043	0.0173	0.024	0.0287	0.0315	0.0431	0.0565	0.0797	0.1115	0.1476	0.0103	0.0125	0.0137	0.0203	0.024	0.0273	0.0519	0.0622	0.0713	0.0079	0.0089	0.0092	0.0165	0.018	0.019	0.0428	0.047	0.0495	0.0173	0.024	0.0287	0.0315	0.0431	0.0565	0.0797	0.1115	0.1476	0.195	0.1496	0.6538	0.1812	0.143	0.6744	0.1622	0.1414	0.6951	3.52%	8.43%	10.08%	-14.97%	-12.74%	-11.66%	-8.68%	-4.71%	-2.58%	3.52%	8.43%	10.08%	3.30%	10.00%	10.26%	-1.70%	14.83%	19.58%	5.35%	11.95%	17.71%	3.51%	7.52%	8.21%	-16.26%	-6.02%	-2.84%	-10.96%	-6.25%	-2.50%	-7.82%	-4.16%	-2.60%	-24.76%	-18.35%	-17.12%	-19.51%	-16.67%	-14.80%	-13.54%	-11.32%	-10.49%	-1.70%	14.83%	19.58%	5.35%	11.95%	17.71%	3.51%	7.52%	8.21%	3.17%	1.77%	-1.54%	5.90%	-1.17%	-1.42%	7.06%	-2.01%	-1.29%
multi-view + 7b + nosenet + nocross	beauty		done	0.0472	0.0657	0.0861	0.0248	0.0273	0.0287	0.0304	0.0363	0.0415	0.0472	0.0657	0.0861	0.0094	0.0066	0.0043	0.0172	0.0242	0.0287	0.0315	0.043	0.0565	0.0799	0.1116	0.1474	0.0103	0.0126	0.0137	0.0203	0.024	0.0274	0.0517	0.0619	0.0709	0.008	0.009	0.0093	0.0166	0.0181	0.0191	0.0424	0.0466	0.049	0.0172	0.0242	0.0287	0.0315	0.043	0.0565	0.0799	0.1116	0.1474	0.1939	0.149	0.6555	0.1797	0.1424	0.6765	0.161	0.1406	0.6972	3.74%	8.60%	9.82%	-15.65%	-13.06%	-11.96%	-8.98%	-4.97%	-2.81%	3.74%	8.60%	9.82%	3.30%	10.00%	10.26%	-2.27%	15.79%	19.58%	5.35%	11.69%	17.71%	3.77%	7.62%	8.06%	-16.26%	-5.26%	-2.84%	-10.96%	-6.25%	-2.14%	-8.17%	-4.62%	-3.14%	-23.81%	-17.43%	-16.22%	-19.02%	-16.20%	-14.35%	-14.34%	-12.08%	-11.39%	-2.27%	15.79%	19.58%	5.35%	11.69%	17.71%	3.77%	7.62%	8.06%	2.59%	1.36%	-1.28%	5.03%	-1.59%	-1.11%	6.27%	-2.56%	-0.99%																																																																																																																												
																																																																																																																												
# 复跑 aggressive实验																																																																																																																												
GPU_ID=4 nohup bash experiments/exp_multiview_toys_aggressive.sh > mv_toys_7b_aggressive_v2.log 2>&1 &			done	0.0532	0.0688	0.0873	0.0352	0.0372	0.0385	0.0396	0.0447	0.0493	0.0532	0.0688	0.0873	0.0106	0.0069	0.0044	0.0168	0.0202	0.0242	0.0397	0.0515	0.0671	0.0955	0.1239	0.1569	0.0128	0.0139	0.0149	0.0302	0.034	0.038	0.0707	0.0798	0.0882	0.0115	0.012	0.0122	0.0271	0.0287	0.0297	0.0625	0.0662	0.0685	0.0168	0.0202	0.0242	0.0397	0.0515	0.0671	0.0955	0.1239	0.1569	0.1975	0.1919	0.6106	0.1857	0.1941	0.6202	0.1786	0.1982	0.6232																																																													
GPU_ID=5 nohup bash experiments/exp_tfidf_toys_with_boost.sh > tfidf_toys_aggressive_v2.log 2>&1 &			done	0.0536	0.068	0.0845	0.0364	0.0383	0.0394	0.0407	0.0453	0.0495	0.0536	0.068	0.0845	0.0107	0.0068	0.0042	0.0175	0.0201	0.0233	0.0402	0.0515	0.0637	0.0959	0.1222	0.1525	0.0136	0.0144	0.0152	0.0312	0.0349	0.038	0.0722	0.0807	0.0884	0.0123	0.0126	0.0129	0.0283	0.0298	0.0306	0.0644	0.0679	0.07	0.0175	0.0201	0.0233	0.0402	0.0515	0.0637	0.0959	0.1222	0.1525	0.2403	0.1833	0.5765	0.2212	0.1851	0.5937	0.2062	0.1882	0.6056																																																													
