seed 2024																																																																																																																												
	数据集	实验时间	实验机器	完成状态	recall@5	recall@10	recall@20	mrr@5	mrr@10	mrr@20	ndcg@5	ndcg@10	ndcg@20	hit@5	hit@10	hit@20	precision@5	precision@10	precision@20	Recall_new@5	Recall_new@10	Recall_new@20	Recall_few@5	Recall_few@10	Recall_few@20	Recall_frequent@5	Recall_frequent@10	Recall_frequent@20	NDCG_new@5	NDCG_new@10	NDCG_new@20	NDCG_few@5	NDCG_few@10	NDCG_few@20	NDCG_frequent@5	NDCG_frequent@10	NDCG_frequent@20	MRR_new@5	MRR_new@10	MRR_new@20	MRR_few@5	MRR_few@10	MRR_few@20	MRR_frequent@5	MRR_frequent@10	MRR_frequent@20	Hit_new@5	Hit_new@10	Hit_new@20	Hit_few@5	Hit_few@10	Hit_few@20	Hit_frequent@5	Hit_frequent@10	Hit_frequent@20	Coverage_new@5	Coverage_few@5	Coverage_frequent@5	Coverage_new@10	Coverage_few@10	Coverage_frequent@10	Coverage_new@20	Coverage_few@20	Coverage_frequent@20	recall@5	recall@10	recall@20	mrr@5	mrr@10	mrr@20	ndcg@5	ndcg@10	ndcg@20	hit@5	hit@10	hit@20	precision@5	precision@10	precision@20	Recall_new@5	Recall_new@10	Recall_new@20	Recall_few@5	Recall_few@10	Recall_few@20	Recall_frequent@5	Recall_frequent@10	Recall_frequent@20	NDCG_new@5	NDCG_new@10	NDCG_new@20	NDCG_few@5	NDCG_few@10	NDCG_few@20	NDCG_frequent@5	NDCG_frequent@10	NDCG_frequent@20	MRR_new@5	MRR_new@10	MRR_new@20	MRR_few@5	MRR_few@10	MRR_few@20	MRR_frequent@5	MRR_frequent@10	MRR_frequent@20	Hit_new@5	Hit_new@10	Hit_new@20	Hit_few@5	Hit_few@10	Hit_few@20	Hit_frequent@5	Hit_frequent@10	Hit_frequent@20	Coverage_new@5	Coverage_few@5	Coverage_frequent@5	Coverage_new@10	Coverage_few@10	Coverage_frequent@10	Coverage_new@20	Coverage_few@20	Coverage_frequent@20
sasrec + base50ep	beauty				0.0346	0.0469	0.0596	0.0191	0.0207	0.0216	0.023	0.0269	0.0301	0.0346	0.0469	0.0596	0.0069	0.0047	0.003	0.0146	0.0171	0.0193	0.0258	0.0333	0.0398	0.0569	0.0786	0.1018	0.0093	0.0101	0.0107	0.0174	0.0198	0.0215	0.0377	0.0447	0.0505	0.0075	0.0079	0.008	0.0146	0.0156	0.0161	0.0313	0.0342	0.0358	0.0146	0.0171	0.0193	0.0258	0.0333	0.0398	0.0569	0.0786	0.1018	0.1974	0.2522	0.5501	0.1785	0.2442	0.5771	0.1637	0.2394	0.5967																																																												
tfidf					0.0432	0.0554	0.0697	0.0293	0.031	0.0319	0.0328	0.0367	0.0403	0.0432	0.0554	0.0697	0.0086	0.0055	0.0035	0.0143	0.016	0.0173	0.0272	0.0326	0.0383	0.0745	0.0973	0.1246	0.0112	0.0118	0.0121	0.0212	0.023	0.0244	0.0561	0.0635	0.0704	0.0102	0.0104	0.0105	0.0192	0.02	0.0204	0.05	0.0531	0.055	0.0143	0.016	0.0173	0.0272	0.0326	0.0383	0.0745	0.0973	0.1246	0.1744	0.1361	0.6895	0.1481	0.1363	0.7156	0.1263	0.1361	0.7377	24.86%	18.12%	16.95%	53.40%	49.76%	47.69%	42.61%	36.43%	33.89%	24.86%	18.12%	16.95%	24.64%	17.02%	16.67%	-2.05%	-6.43%	-10.36%	5.43%	-2.10%	-3.77%	30.93%	23.79%	22.40%	20.43%	16.83%	13.08%	21.84%	16.16%	13.49%	48.81%	42.06%	39.41%	36.00%	31.65%	31.25%	31.51%	28.21%	26.71%	59.74%	55.26%	53.63%	-2.05%	-6.43%	-10.36%	5.43%	-2.10%	-3.77%	30.93%	23.79%	22.40%	-11.65%	-46.03%	25.34%	-17.03%	-44.19%	24.00%	-22.85%	-43.15%	23.63%
tfidf + llm					0.0438	0.0563	0.0709	0.0298	0.0315	0.0325	0.0333	0.0373	0.041	0.0438	0.0563	0.0709	0.0088	0.0056	0.0035	0.0152	0.0165	0.0188	0.0276	0.0334	0.0401	0.0752	0.0987	0.1258	0.0122	0.0126	0.0132	0.0218	0.0237	0.0254	0.0566	0.0641	0.0709	0.0112	0.0113	0.0115	0.02	0.0207	0.0212	0.0504	0.0535	0.0554	0.0152	0.0165	0.0188	0.0276	0.0334	0.0401	0.0752	0.0987	0.1258	0.1896	0.1418	0.6686	0.1625	0.1425	0.695	0.1394	0.1436	0.717	26.59%	20.04%	18.96%	56.02%	52.17%	50.46%	44.78%	38.66%	36.21%	26.59%	20.04%	18.96%	27.54%	19.15%	16.67%	4.11%	-3.51%	-2.59%	6.98%	0.30%	0.75%	32.16%	25.57%	23.58%	31.18%	24.75%	23.36%	25.29%	19.70%	18.14%	50.13%	43.40%	40.40%	49.33%	43.04%	43.75%	36.99%	32.69%	31.68%	61.02%	56.43%	54.75%	4.11%	-3.51%	-2.59%	6.98%	0.30%	0.75%	32.16%	25.57%	23.58%	-3.95%	-43.77%	21.54%	-8.96%	-41.65%	20.43%	-14.84%	-40.02%	20.16%
multi-view 7b					0.045	0.0581	0.0738	0.0303	0.0321	0.0331	0.034	0.0382	0.0421	0.045	0.0581	0.0738	0.009	0.0058	0.0037	0.0154	0.017	0.0191	0.0289	0.0355	0.0426	0.0772	0.1012	0.1307	0.0121	0.0126	0.0131	0.0231	0.0252	0.027	0.0575	0.0653	0.0727	0.011	0.0112	0.0113	0.0212	0.022	0.0225	0.051	0.0542	0.0562	0.0154	0.017	0.0191	0.0289	0.0355	0.0426	0.0772	0.1012	0.1307	0.1529	0.1537	0.6933	0.1351	0.154	0.711	0.1212	0.1552	0.7236	30.06%	23.88%	23.83%	58.64%	55.07%	53.24%	47.83%	42.01%	39.87%	30.06%	23.88%	23.83%	30.43%	23.40%	23.33%	5.48%	-0.58%	-1.04%	12.02%	6.61%	7.04%	35.68%	28.75%	28.39%	30.11%	24.75%	22.43%	32.76%	27.27%	25.58%	52.52%	46.09%	43.96%	46.67%	41.77%	41.25%	45.21%	41.03%	39.75%	62.94%	58.48%	56.98%	5.48%	-0.58%	-1.04%	12.02%	6.61%	7.04%	35.68%	28.75%	28.39%	-22.54%	-39.06%	26.03%	-24.31%	-36.94%	23.20%	-25.96%	-35.17%	21.27%
multi-view 14b					0.0447	0.0578	0.0739	0.0299	0.0317	0.0328	0.0336	0.0378	0.0419	0.0447	0.0578	0.0739	0.0089	0.0058	0.0037	0.0156	0.0176	0.0201	0.0291	0.0363	0.0437	0.0763	0.1002	0.1301	0.0117	0.0124	0.013	0.0232	0.0254	0.0273	0.0568	0.0645	0.072	0.0105	0.0107	0.0109	0.0212	0.0221	0.0226	0.0503	0.0535	0.0556	0.0156	0.0176	0.0201	0.0291	0.0363	0.0437	0.0763	0.1002	0.1301	0.1662	0.1566	0.6772	0.1469	0.1576	0.6955	0.1314	0.1601	0.7085	29.19%	23.24%	23.99%	56.54%	53.14%	51.85%	46.09%	40.52%	39.20%	29.19%	23.24%	23.99%	28.99%	23.40%	23.33%	6.85%	2.92%	4.15%	12.79%	9.01%	9.80%	34.09%	27.48%	27.80%	25.81%	22.77%	21.50%	33.33%	28.28%	26.98%	50.66%	44.30%	42.57%	40.00%	35.44%	36.25%	45.21%	41.67%	40.37%	60.70%	56.43%	55.31%	6.85%	2.92%	4.15%	12.79%	9.01%	9.80%	34.09%	27.48%	27.80%	-15.81%	-37.91%	23.10%	-17.70%	-35.46%	20.52%	-19.73%	-33.12%	18.74%
																																																																																																																												
																																																																																																																												
sasrec + 50ep	toy				0.046	0.0597	0.0726	0.0231	0.0249	0.0258	0.0288	0.0332	0.0365	0.046	0.0597	0.0726	0.0092	0.006	0.0036	0.0161	0.0191	0.0213	0.0361	0.0461	0.0552	0.081	0.1061	0.1303	0.01	0.011	0.0116	0.022	0.0253	0.0276	0.051	0.0592	0.0653	0.008	0.0084	0.0086	0.0173	0.0187	0.0193	0.0411	0.0445	0.0461	0.0161	0.0191	0.0213	0.0361	0.0461	0.0552	0.081	0.1061	0.1303	0.2083	0.2435	0.5476	0.1905	0.232	0.5771	0.1763	0.2252	0.5983																																																												
tfidf					0.0502	0.0628	0.0772	0.0347	0.0364	0.0374	0.0386	0.0426	0.0463	0.0502	0.0628	0.0772	0.01	0.0063	0.0039	0.0164	0.018	0.0197	0.0377	0.0461	0.0552	0.0898	0.1138	0.1416	0.013	0.0135	0.0139	0.0293	0.032	0.0343	0.0687	0.0764	0.0834	0.0119	0.0121	0.0122	0.0264	0.0276	0.0282	0.0617	0.0649	0.0668	0.0164	0.018	0.0197	0.0377	0.0461	0.0552	0.0898	0.1138	0.1416	0.2256	0.1804	0.594	0.202	0.1788	0.6191	0.1819	0.1785	0.6396	9.13%	5.19%	6.34%	50.22%	46.18%	44.96%	34.03%	28.31%	26.85%	9.13%	5.19%	6.34%	8.70%	5.00%	8.33%	1.86%	-5.76%	-7.51%	4.43%	0.00%	0.00%	10.86%	7.26%	8.67%	30.00%	22.73%	19.83%	33.18%	26.48%	24.28%	34.71%	29.05%	27.72%	48.75%	44.05%	41.86%	52.60%	47.59%	46.11%	50.12%	45.84%	44.90%	1.86%	-5.76%	-7.51%	4.43%	0.00%	0.00%	10.86%	7.26%	8.67%	8.31%	-25.91%	8.47%	6.04%	-22.93%	7.28%	3.18%	-20.74%	6.90%
tfidf + llm					0.0509	0.064	0.0782	0.0351	0.0368	0.0378	0.039	0.0433	0.0468	0.0509	0.064	0.0782	0.0102	0.0064	0.0039	0.0173	0.019	0.0215	0.0383	0.0469	0.0568	0.0907	0.1159	0.1424	0.0138	0.0143	0.0149	0.0298	0.0326	0.0351	0.0691	0.0773	0.0839	0.0126	0.0128	0.013	0.027	0.0281	0.0288	0.062	0.0654	0.0672	0.0173	0.019	0.0215	0.0383	0.0469	0.0568	0.0907	0.1159	0.1424	0.2614	0.1881	0.5505	0.2395	0.1886	0.5719	0.2218	0.1892	0.589	10.65%	7.20%	7.71%	51.95%	47.79%	46.51%	35.42%	30.42%	28.22%	10.65%	7.20%	7.71%	10.87%	6.67%	8.33%	7.45%	-0.52%	0.94%	6.09%	1.74%	2.90%	11.98%	9.24%	9.29%	38.00%	30.00%	28.45%	35.45%	28.85%	27.17%	35.49%	30.57%	28.48%	57.50%	52.38%	51.16%	56.07%	50.27%	49.22%	50.85%	46.97%	45.77%	7.45%	-0.52%	0.94%	6.09%	1.74%	2.90%	11.98%	9.24%	9.29%	25.49%	-22.75%	0.53%	25.72%	-18.71%	-0.90%	25.81%	-15.99%	-1.55%
