	数据	实验机器	完成状态	recall@5	recall@10	recall@20	mrr@5	mrr@10	mrr@20	ndcg@5	ndcg@10	ndcg@20	hit@5	hit@10	hit@20	precision@5	precision@10	precision@20	Recall_new@5	Recall_new@10	Recall_new@20	Recall_few@5	Recall_few@10	Recall_few@20	Recall_frequent@5	Recall_frequent@10	Recall_frequent@20	NDCG_new@5	NDCG_new@10	NDCG_new@20	NDCG_few@5	NDCG_few@10	NDCG_few@20	NDCG_frequent@5	NDCG_frequent@10	NDCG_frequent@20	MRR_new@5	MRR_new@10	MRR_new@20	MRR_few@5	MRR_few@10	MRR_few@20	MRR_frequent@5	MRR_frequent@10	MRR_frequent@20	Hit_new@5	Hit_new@10	Hit_new@20	Hit_few@5	Hit_few@10	Hit_few@20	Hit_frequent@5	Hit_frequent@10	Hit_frequent@20	Coverage_new@5	Coverage_few@5	Coverage_frequent@5	Coverage_new@10	Coverage_few@10	Coverage_frequent@10	Coverage_new@20	Coverage_few@20	Coverage_frequent@20	recall@5	recall@10	recall@20	mrr@5	mrr@10	mrr@20	ndcg@5	ndcg@10	ndcg@20	hit@5	hit@10	hit@20	precision@5	precision@10	precision@20	Recall_new@5	Recall_new@10	Recall_new@20	Recall_few@5	Recall_few@10	Recall_few@20	Recall_frequent@5	Recall_frequent@10	Recall_frequent@20	NDCG_new@5	NDCG_new@10	NDCG_new@20	NDCG_few@5	NDCG_few@10	NDCG_few@20	NDCG_frequent@5	NDCG_frequent@10	NDCG_frequent@20	MRR_new@5	MRR_new@10	MRR_new@20	MRR_few@5	MRR_few@10	MRR_few@20	MRR_frequent@5	MRR_frequent@10	MRR_frequent@20	Hit_new@5	Hit_new@10	Hit_new@20	Hit_few@5	Hit_few@10	Hit_few@20	Hit_frequent@5	Hit_frequent@10	Hit_frequent@20	Coverage_new@5	Coverage_few@5	Coverage_frequent@5	Coverage_new@10	Coverage_few@10	Coverage_frequent@10	Coverage_new@20	Coverage_few@20	Coverage_frequent@20	
GPU_ID=6 nohup bash experiments/exp_ablation_toys_nocross.sh > ablation_toys_nocross.log 2>&1 &	toy			0.0526	0.0667	0.0837	0.035	0.0368	0.038	0.0394	0.0439	0.0482	0.0526	0.0667	0.0837	0.0105	0.0067	0.0042	0.0178	0.0201	0.0235	0.0391	0.0492	0.0615	0.094	0.1204	0.1519	0.0138	0.0145	0.0154	0.0302	0.0334	0.0366	0.0697	0.0782	0.0861	0.0124	0.0127	0.013	0.0272	0.0286	0.0294	0.0617	0.0651	0.0673	0.0178	0.0201	0.0235	0.0391	0.0492	0.0615	0.094	0.1204	0.1519	0.2311	0.178	0.5908	0.2138	0.1786	0.6076	0.2003	0.1811	0.6186																																																													
GPU_ID=7 nohup bash experiments/exp_ablation_toys_nowhiten.sh > ablation_toys_nowhiten.log 2>&1 &	toy			0.0541	0.0691	0.0865	0.0358	0.0377	0.0389	0.0403	0.0451	0.0495	0.0541	0.0691	0.0865	0.0108	0.0069	0.0043	0.0174	0.0206	0.0248	0.0401	0.0522	0.0652	0.0972	0.124	0.1559	0.013	0.0141	0.0151	0.0306	0.0345	0.0378	0.072	0.0806	0.0887	0.0116	0.012	0.0123	0.0274	0.029	0.0299	0.0637	0.0672	0.0694	0.0174	0.0206	0.0248	0.0401	0.0522	0.0652	0.0972	0.124	0.1559	0.1973	0.1933	0.6094	0.1859	0.194	0.6201	0.177	0.1986	0.6244																																																													
																																																																																																																												
																																																																																																																												
GPU_ID=3 nohup bash experiments/exp_sensitivity_lambda_005.sh > sensitivity_lambda_005.log 2>&1 &	beuaty			0.0531	0.0682	0.0853	0.0352	0.0372	0.0384	0.0396	0.0445	0.0488	0.0531	0.0682	0.0853	0.0106	0.0068	0.0043	0.0169	0.0198	0.0233	0.0392	0.0508	0.0638	0.0954	0.1231	0.1543	0.0129	0.0138	0.0147	0.03	0.0338	0.0371	0.0707	0.0796	0.0875	0.0116	0.012	0.0122	0.027	0.0285	0.0294	0.0625	0.0662	0.0684	0.0169	0.0198	0.0233	0.0392	0.0508	0.0638	0.0954	0.1231	0.1543	0.2192	0.1849	0.5959	0.2051	0.1874	0.6075	0.1949	0.1924	0.6127																																																													
GPU_ID=4 nohup bash experiments/exp_sensitivity_lambda_015.sh > sensitivity_lambda_015.log 2>&1 &	beauty			0.0534	0.0693	0.088	0.0351	0.0372	0.0385	0.0397	0.0448	0.0495	0.0534	0.0693	0.088	0.0107	0.0069	0.0044	0.0169	0.0204	0.0249	0.0397	0.0517	0.0676	0.0961	0.1249	0.1581	0.0125	0.0137	0.0148	0.0299	0.0338	0.0378	0.071	0.0803	0.0887	0.0111	0.0116	0.0119	0.0267	0.0283	0.0294	0.0628	0.0666	0.0689	0.0169	0.0204	0.0249	0.0397	0.0517	0.0676	0.0961	0.1249	0.1581	0.1982	0.1816	0.6203	0.1873	0.1838	0.6288	0.1798	0.1898	0.6304																																																													
GPU_ID=5 nohup bash experiments/exp_sensitivity_tau_003.sh > sensitivity_tau_003.log 2>&1 &	beauty			0.0536	0.0694	0.0872	0.0354	0.0375	0.0387	0.0399	0.045	0.0495	0.0536	0.0694	0.0872	0.0107	0.0069	0.0044	0.0168	0.0201	0.0236	0.039	0.0519	0.0663	0.0968	0.1253	0.1572	0.0124	0.0135	0.0144	0.0298	0.0339	0.0376	0.0717	0.0809	0.089	0.011	0.0114	0.0117	0.0268	0.0284	0.0294	0.0634	0.0672	0.0694	0.0168	0.0201	0.0236	0.039	0.0519	0.0663	0.0968	0.1253	0.1572	0.1979	0.1857	0.6164	0.1864	0.1877	0.626	0.1794	0.1916	0.629																																																													
GPU_ID=6 nohup bash experiments/exp_sensitivity_tau_010.sh > sensitivity_tau_010.log 2>&1 &	beauty			0.0535	0.069	0.0868	0.0355	0.0376	0.0388	0.04	0.045	0.0495	0.0535	0.069	0.0868	0.0107	0.0069	0.0043	0.0172	0.0201	0.0244	0.0392	0.0512	0.0652	0.0962	0.1247	0.1568	0.0129	0.0139	0.015	0.0302	0.0341	0.0376	0.0714	0.0806	0.0887	0.0115	0.0119	0.0122	0.0273	0.0289	0.0298	0.0632	0.067	0.0692	0.0172	0.0201	0.0244	0.0392	0.0512	0.0652	0.0962	0.1247	0.1568	0.1999	0.1933	0.6068	0.1857	0.1959	0.6184	0.1762	0.2003	0.6235																																																													
GPU_ID=7 nohup bash experiments/exp_sensitivity_cold_15.sh > sensitivity_cold_15.log 2>&1 &	beauty			0.0532	0.069	0.0868	0.035	0.0371	0.0383	0.0395	0.0446	0.0491	0.0532	0.069	0.0868	0.0106	0.0069	0.0043	0.0166	0.0195	0.0236	0.0396	0.0515	0.0659	0.0956	0.1248	0.1566	0.0124	0.0134	0.0144	0.0302	0.0341	0.0377	0.0705	0.0799	0.088	0.011	0.0114	0.0117	0.0271	0.0287	0.0297	0.0622	0.0661	0.0683	0.0166	0.0195	0.0236	0.0396	0.0515	0.0659	0.0956	0.1248	0.1566	0.2074	0.1825	0.6102	0.1941	0.1861	0.6198	0.1861	0.1914	0.6225																																																													
GPU_ID=0 nohup bash experiments/exp_sensitivity_cold_25.sh > sensitivity_cold_25.log 2>&1 &	beauty		doing																																																																																																																									
																																																																																																																												
GPU_ID=3 nohup bash experiments/exp_sensitivity_infer_05.sh > sensitivity_infer_05.log 2>&1 &	beauty																																																																																																																											
GPU_ID=4 nohup bash experiments/exp_sensitivity_infer_15.sh > sensitivity_infer_15.log 2>&1 &	beauty																																																																																																																											
