	数据	实验机器	完成状态	recall@5	recall@10	recall@20	mrr@5	mrr@10	mrr@20	ndcg@5	ndcg@10	ndcg@20	hit@5	hit@10	hit@20	precision@5	precision@10	precision@20	Recall_new@5	Recall_new@10	Recall_new@20	Recall_few@5	Recall_few@10	Recall_few@20	Recall_frequent@5	Recall_frequent@10	Recall_frequent@20	NDCG_new@5	NDCG_new@10	NDCG_new@20	NDCG_few@5	NDCG_few@10	NDCG_few@20	NDCG_frequent@5	NDCG_frequent@10	NDCG_frequent@20	MRR_new@5	MRR_new@10	MRR_new@20	MRR_few@5	MRR_few@10	MRR_few@20	MRR_frequent@5	MRR_frequent@10	MRR_frequent@20	Hit_new@5	Hit_new@10	Hit_new@20	Hit_few@5	Hit_few@10	Hit_few@20	Hit_frequent@5	Hit_frequent@10	Hit_frequent@20	Coverage_new@5	Coverage_few@5	Coverage_frequent@5	Coverage_new@10	Coverage_few@10	Coverage_frequent@10	Coverage_new@20	Coverage_few@20	Coverage_frequent@20	recall@5	recall@10	recall@20	mrr@5	mrr@10	mrr@20	ndcg@5	ndcg@10	ndcg@20	hit@5	hit@10	hit@20	precision@5	precision@10	precision@20	Recall_new@5	Recall_new@10	Recall_new@20	Recall_few@5	Recall_few@10	Recall_few@20	Recall_frequent@5	Recall_frequent@10	Recall_frequent@20	NDCG_new@5	NDCG_new@10	NDCG_new@20	NDCG_few@5	NDCG_few@10	NDCG_few@20	NDCG_frequent@5	NDCG_frequent@10	NDCG_frequent@20	MRR_new@5	MRR_new@10	MRR_new@20	MRR_few@5	MRR_few@10	MRR_few@20	MRR_frequent@5	MRR_frequent@10	MRR_frequent@20	Hit_new@5	Hit_new@10	Hit_new@20	Hit_few@5	Hit_few@10	Hit_few@20	Hit_frequent@5	Hit_frequent@10	Hit_frequent@20	Coverage_new@5	Coverage_few@5	Coverage_frequent@5	Coverage_new@10	Coverage_few@10	Coverage_frequent@10	Coverage_new@20	Coverage_few@20	Coverage_frequent@20	
																																																																																																																												
base50ep	toy		done	0.046	0.0597	0.0726	0.0231	0.0249	0.0258	0.0288	0.0332	0.0365	0.046	0.0597	0.0726	0.0092	0.006	0.0036	0.0161	0.0191	0.0213	0.0361	0.0461	0.0552	0.081	0.1061	0.1303	0.01	0.011	0.0116	0.022	0.0253	0.0276	0.051	0.0592	0.0653	0.008	0.0084	0.0086	0.0173	0.0187	0.0193	0.0411	0.0445	0.0461	0.0161	0.0191	0.0213	0.0361	0.0461	0.0552	0.081	0.1061	0.1303	0.2083	0.2435	0.5476	0.1905	0.232	0.5771	0.1763	0.2252	0.5983																																																													
two_phase_run_tfidf_toys_stratified.sh	toy	ubuntu		0.052	0.066	0.0814	0.0354	0.0373	0.0384	0.0395	0.0441	0.0479	0.052	0.066	0.0814	0.0104	0.0066	0.0041	0.0162	0.0183	0.0207	0.0379	0.0476	0.0574	0.0938	0.1203	0.1497	0.0126	0.0133	0.0139	0.0293	0.0324	0.0349	0.071	0.0796	0.087	0.0114	0.0117	0.0118	0.0265	0.0278	0.0284	0.0635	0.067	0.0691	0.0162	0.0183	0.0207	0.0379	0.0476	0.0574	0.0938	0.1203	0.1497	0.2197	0.1684	0.612	0.1971	0.1672	0.6357	0.1791	0.1675	0.6534	13.04%	10.55%	12.12%	53.25%	49.80%	48.84%	37.15%	32.83%	31.23%	13.04%	10.55%	12.12%	13.04%	10.00%	13.89%	0.62%	-4.19%	-2.82%	4.99%	3.25%	3.99%	15.80%	13.38%	14.89%	26.00%	20.91%	19.83%	33.18%	28.06%	26.45%	39.22%	34.46%	33.23%	42.50%	39.29%	37.21%	53.18%	48.66%	47.15%	54.50%	50.56%	49.89%	0.62%	-4.19%	-2.82%	4.99%	3.25%	3.99%	15.80%	13.38%	14.89%	5.47%	-30.84%	11.76%	3.46%	-27.93%	10.15%	1.59%	-25.62%	9.21%	
two_phase_run_tfidf_llm_toys_stratified	toy	ubuntu		0.0523	0.0666	0.083	0.0352	0.0371	0.0383	0.0394	0.0441	0.0482	0.0523	0.0666	0.083	0.0105	0.0067	0.0042	0.0164	0.0184	0.0214	0.0363	0.0457	0.0571	0.0953	0.1227	0.1535	0.0132	0.0139	0.0146	0.0279	0.031	0.0339	0.0713	0.0801	0.0879	0.0122	0.0124	0.0126	0.0252	0.0264	0.0272	0.0634	0.067	0.0692	0.0164	0.0184	0.0214	0.0363	0.0457	0.0571	0.0953	0.1227	0.1535	0.2253	0.1547	0.62	0.2057	0.1548	0.6395	0.1926	0.1573	0.6501	13.70%	11.56%	14.33%	52.38%	49.00%	48.45%	36.81%	32.83%	32.05%	13.70%	11.56%	14.33%	14.13%	11.67%	16.67%	1.86%	-3.66%	0.47%	0.55%	-0.87%	3.44%	17.65%	15.65%	17.81%	32.00%	26.36%	25.86%	26.82%	22.53%	22.83%	39.80%	35.30%	34.61%	52.50%	47.62%	46.51%	45.66%	41.18%	40.93%	54.26%	50.56%	50.11%	1.86%	-3.66%	0.47%	0.55%	-0.87%	3.44%	17.65%	15.65%	17.81%	8.16%	-36.47%	13.22%	7.98%	-33.28%	10.81%	9.25%	-30.15%	8.66%	
two_phase_run_multiview_v2_toys_stratified_7b	toy	ubuntu		0.0526	0.0667	0.0837	0.035	0.0368	0.038	0.0394	0.0439	0.0482	0.0526	0.0667	0.0837	0.0105	0.0067	0.0042	0.0178	0.0201	0.0235	0.0391	0.0492	0.0615	0.094	0.1204	0.1519	0.0138	0.0145	0.0154	0.0302	0.0334	0.0366	0.0697	0.0782	0.0861	0.0124	0.0127	0.013	0.0272	0.0286	0.0294	0.0617	0.0651	0.0673	0.0178	0.0201	0.0235	0.0391	0.0492	0.0615	0.094	0.1204	0.1519	0.2311	0.178	0.5908	0.2138	0.1786	0.6076	0.2003	0.1811	0.6186																																																													
two_phase_run_multiview_v2_toys_stratified_14b	toy	ubuntu		0.0528	0.0671	0.0836	0.0354	0.0373	0.0385	0.0397	0.0444	0.0485	0.0528	0.0671	0.0836	0.0106	0.0067	0.0042	0.0176	0.0202	0.0238	0.0392	0.0496	0.0611	0.0945	0.121	0.1516	0.0135	0.0144	0.0153	0.0302	0.0335	0.0364	0.0707	0.0792	0.087	0.0121	0.0125	0.0127	0.0272	0.0286	0.0294	0.0628	0.0664	0.0685	0.0176	0.0202	0.0238	0.0392	0.0496	0.0611	0.0945	0.121	0.1516	0.2507	0.1758	0.5734	0.2334	0.176	0.5906	0.22	0.1781	0.6019																																																													
two_phase_run_multiview_v2_toys_stratified_32b	toy	ubuntu		0.0526	0.068	0.0854	0.0348	0.0368	0.038	0.0392	0.0442	0.0485	0.0526	0.068	0.0854	0.0105	0.0068	0.0043	0.0175	0.0208	0.0241	0.0388	0.0492	0.0629	0.0944	0.1232	0.1547	0.0135	0.0145	0.0153	0.0295	0.0328	0.0363	0.0698	0.0791	0.0871	0.0121	0.0125	0.0128	0.0264	0.0278	0.0288	0.0617	0.0655	0.0677	0.0175	0.0208	0.0241	0.0388	0.0492	0.0629	0.0944	0.1232	0.1547	0.2344	0.1746	0.591	0.221	0.1754	0.6036	0.2124	0.1782	0.6094																																																													
																																																																																																																												
																																																																																																																												
																																																																																																																												
